RA,cluster,Cidade
1.0,2,Plano Piloto
2.0,1,Gama
3.0,2,Taguatinga
4.0,0,Brazlândia
5.0,0,Sobradinho
6.0,0,Planaltina
7.0,1,Paranoá
8.0,5,Núcleo Bandeirante
9.0,0,Ceilândia
10.0,2,Guará
11.0,5,Cruzeiro
12.0,1,Samambaia
13.0,1,Santa Maria
14.0,0,São Sebastião
15.0,1,Recanto das Emas
16.0,5,Lago Sul
17.0,0,Riacho Fundo II
18.0,2,Lago Norte
19.0,3,Candangolândia
20.0,5,Águas Claras
21.0,1,Riacho Fundo
22.0,2,Sudoeste/Octogonal
23.0,3,Varjão
24.0,5,Park Way
25.0,0,SCIA/Estrutural
26.0,1,Sobradinho II
27.0,5,Jardim Botânico
28.0,0,Itapoã
29.0,4,SIA
30.0,2,Vicente Pires
31.0,3,Fercal
32.0,0,Sol Nascente/Pôr do Sol
