RA;Cidade;S3;S4;E2;E5;E6;SE1;SE2;SE3;SE4;SE5;SEG1;SEG2;POP_ESTIM
1.0;Plano Piloto;11.412;2.1792499822102043;20.92874692874693;18.54;6.3;97.38195185768345;14.885903620367447;11.79462639969732;12.408860052080021;44.91793252253753;21.65462890486017;3.557959154628905;224848.0
2.0;Gama;18.355;1.8932360501270649;24.22248243559719;15.69;5.69;83.36166136590228;76.23319078838996;28.721123920574442;8.790823860446274;42.613424400497784;8.337520297674958;4.369006269523996;137331.00000000003
3.0;Taguatinga;10.796;2.280306701251318;23.532258064516128;20.37;6.8;87.82247723757153;100.19426290048624;36.977316574902744;11.195501786797376;49.333410713779614;14.85524803086015;8.076086233598417;210498.00000000003
4.0;Brazlândia;29.025;3.937078329962956;24.712158808933;17.61;7.51;87.26202043992019;178.53346775822624;61.38045504163121;6.690442977825207;48.73882366955064;4.867660480681473;14.316648472592568;55878.99999999999
5.0;Sobradinho;23.529;4.2212478553337505;24.25809617271835;22.21;9.5;90.43678032692394;226.74017894480755;109.74511345070098;9.076390048301285;47.736266970763786;5.160815926359651;4.085078569677823;73438.0
6.0;Planaltina;10.131;2.520134264174415;26.635802469135804;24.77;8.39;80.1073415277814;196.98529398381436;91.78383964400528;5.596504890733247;45.00670463449903;5.361987796115776;11.796373151454707;186498.0
7.0;Paranoá;26.403;2.1472129176329124;24.434782608695652;15.44;5.48;81.0375193730953;231.27310656331383;55.30211438277798;4.640845681646461;44.39259412265835;13.069369291992327;12.883277505797475;69858.0
8.0;Núcleo Bandeirante;86.643;2.075291578466774;24.35428281804359;17.92;6.64;88.06908686938483;103.51024803235634;30.762738831472493;9.085769654084668;46.310694193017085;12.285726144523302;16.602332627734192;24093.000000000007
9.0;Ceilândia;6.397;2.7401404892863357;25.77227722772277;21.3;7.9;87.62068878160719;222.5454613818041;63.95705889639707;8.252611606093604;47.06474999403749;13.418125458474021;10.560958135791084;350347.0000000001
10.0;Guará;16.971;1.9002977133084185;21.02803738317757;16.93;6.41;93.59122418998498;56.891656128350384;28.410837345849913;9.748333113694837;46.35555608539584;5.806465235109056;2.815255871568027;142083.0
11.0;Cruzeiro;88.235;2.9163966299416715;25.477659574468085;16.57;6.51;93.00137194648353;74.38482281241775;37.401805686053045;11.786602793648147;43.934500423370125;3.0460142579390794;3.2404406999351907;30860.000000000004
12.0;Samambaia;9.781;2.0191496149481676;24.92079207920792;15.44;5.88;85.98012018076498;206.89240519335675;84.40590415270856;5.017793667422538;46.59407128024557;11.117437779904613;7.672768536803036;247629.0000000001
13.0;Santa Maria;17.483;2.2142475376040314;28.180392156862744;20.88;5.69;84.13454786123198;125.31102642382137;43.74286830670518;5.188777509935028;44.71317286735305;9.437275711995115;12.980071772161564;130970.0
14.0;São Sebastião;16.316;3.02592206569613;24.744149765990638;20.38;7.77;80.47216633799277;319.95879192781325;178.20778921980317;2.9149055153110397;42.44195422263829;4.96755539118448;20.17281377130753;118972.00000000001
15.0;Recanto das Emas;17.806;2.2461142223952564;26.928571428571427;11.23;5.91;79.33211166271583;197.4215068523392;77.8796810883638;4.419483603710407;41.84308302386481;8.729897277709563;17.22020903836363;133564.0
16.0;Lago Sul;109.091;1.3138014845956782;26.64;13.01;5.11;98.5386006203155;5.406989822019713;5.406989822019713;16.48160112089632;59.02274057366191;2.2663075609275447;0.0;30445.999999999985
17.0;Riacho Fundo II;38.523;3.148614609571788;25.152173913043477;26.71;6.23;90.5101141551792;146.35945598925275;74.70404853768751;6.004332411920571;39.84128762045954;5.1727240014393665;8.996041741633679;44464.00000000001
18.0;Lago Norte;64.171;2.39750659314313;21.614285714285714;17.25;8.3;95.39983905955438;9.289118243913208;9.289118243913208;13.470318686659729;53.64398369691975;3.170036495378139;5.327792429206957;37539.000000000015
19.0;Candangolândia;122.449;3.0601628006609944;21.144736842105264;17.55;5.95;85.87655279705648;;;8.530461262399623;47.258616494948605;4.284227920925392;18.36097680396597;16339.000000000004
20.0;Águas Claras;14.21;2.1647364433380236;28.475490196078432;14.18;6.45;98.45570443786507;15.333861982377895;2.502472929379903;4.38652434608523;42.73361556209852;4.845679269318191;0.0;120107.0
21.0;Riacho Fundo;33.708;0.9590617635775744;23.933333333333334;6.69;4.56;86.61752989121833;194.91394849299647;81.55829185421673;3.0014066239199155;31.542272096666913;4.041760289362634;6.850441168411245;72988.0
22.0;Sudoeste/Octogonal;48.485;0.9030813134414623;22.676470588235293;12.97;5.45;98.15995588548803;;;8.470324748040312;44.36236942164436;2.6550590615178993;3.612325253765849;55366.0
23.0;Varjão;148.148;2.2338880822070815;19.75;14.21;4.58;79.13226092039201;298.9734012345655;172.59381890968174;2.835548605681522;43.44408328296858;3.350832123310622;22.338880822070813;8953.0
24.0;Park Way;121.212;1.2997703739006112;23.535714285714285;23.72;8.79;98.28090808540234;;;10.810131362389356;48.71477684715353;1.4297474112906725;4.332567913002038;23080.999999999993
25.0;SCIA/Estrutural;34.934;2.3982732432648493;22.188172043010752;24.93;6.45;75.05627697521858;422.6697210087778;201.0943479909438;2.594798411810164;46.70605922360359;12.12460361872785;31.976976576864658;37527.0
26.0;Sobradinho II;23.881;1.2684399457107698;24.4375;;4.45;84.73710626792555;114.73378156911794;34.609398993847925;7.3293622280399875;51.3104361928166;2.9681494729632014;11.415959511396927;78837.00000000003
27.0;Jardim Botânico;40.584;0.7540767273070036;29.43877551020408;;8.7;95.90949787236526;50.191427939118554;8.474802832887356;6.522507504985889;45.838819712721744;0.43359411820152705;0.0;53044.99999999999
28.0;Itapoã;25.723;1.6826518593303046;25.857142857142858;;8.24;80.47040183037689;194.05281881834387;59.465114289320184;2.7027271903597;42.35782016544464;10.187692166490754;15.29683508482095;65373.0
29.0;SIA;;;22.095238095238095;;5.63;95.49036909230456;34.42778411511664;9.628173823278352;2.5834772596430615;17.26132489040428;123.77662636729994;57.57052389176742;1737.0
30.0;Vicente Pires;29.953;3.0549509298506896;22.477272727272727;;5.48;92.05863252678684;32.58611505680026;8.57734767350302;6.5250734121907294;39.060132953428095;3.7168569646516723;6.364481103855603;78561.0
31.0;Fercal;139.535;3.1955688112484015;;;;75.55394885349374;150.89213134562016;51.36061095928624;4.29707630815428;51.2896462732087;2.3434171282488276;42.60758414997869;9388.000000000002
32.0;Sol Nascente/Pôr do Sol;;;;;;84.72332820559926;378.7949225153193;78.56068354423458;2.6102475347248313;40.40807831058533;5.460377398972291;18.237016853149104;93217.0
