i_ano_compt,i_desc_radf_res_mae,i_desc_tipo_parto,i_mes_compt,i_qtd_nasc
2022,Águas Claras,Cesário,12,99
2022,Águas Claras,Vaginal,12,58
2022,Arniqueiras,Cesário,12,11
2022,Arniqueiras,Vaginal,12,6
2022,Brazlândia,Cesário,12,59
2022,Brazlândia,Vaginal,12,34
2022,Candangolândia,Cesário,12,12
2022,Candangolândia,Vaginal,12,6
2022,Ceilândia,Cesário,12,194
2022,Ceilândia,Vaginal,12,154
2022,Cruzeiro,Cesário,12,12
2022,Cruzeiro,Vaginal,12,8
2022,Fercal,Cesário,12,8
2022,Fercal,Vaginal,12,8
2022,Gama,Cesário,12,67
2022,Gama,Vaginal,12,48
2022,Guará,Cesário,12,80
2022,Guará,Vaginal,12,39
2022,Itapoã,Cesário,12,49
2022,Itapoã,Vaginal,12,46
2022,Jardim Botânico,Cesário,12,43
2022,Jardim Botânico,Vaginal,12,20
2022,Lago Norte,Cesário,12,21
2022,Lago Norte,Vaginal,12,14
2022,Lago Sul,Cesário,12,12
2022,Lago Sul,Vaginal,12,6
2022,Não Informado,Cesário,12,16
2022,Não Informado,Vaginal,12,13
2022,Núcleo Bandeirante,Cesário,12,12
2022,Núcleo Bandeirante,Vaginal,12,9
2022,Paranoá,Cesário,12,45
2022,Paranoá,Vaginal,12,29
2022,Park Way,Cesário,12,15
2022,Park Way,Vaginal,12,6
2022,Planaltina,Cesário,12,104
2022,Planaltina,Vaginal,12,95
2022,Plano Piloto,Cesário,12,90
2022,Plano Piloto,Vaginal,12,51
2022,Recanto das Emas,Cesário,12,76
2022,Recanto das Emas,Não Informado,12,1
2022,Recanto das Emas,Vaginal,12,62
2022,Riacho Fundo,Cesário,12,43
2022,Riacho Fundo,Vaginal,12,23
2022,Riacho Fundo II,Cesário,12,56
2022,Riacho Fundo II,Vaginal,12,18
2022,Samambaia,Cesário,12,135
2022,Samambaia,Não Informado,12,4
2022,Samambaia,Vaginal,12,98
2022,Santa Maria,Cesário,12,90
2022,Santa Maria,Vaginal,12,79
2022,São Sebastião,Cesário,12,53
2022,São Sebastião,Vaginal,12,68
2022,SCIA/Estrutural,Cesário,12,28
2022,SCIA/Estrutural,Vaginal,12,36
2022,SIA,Cesário,12,1
2022,SIA,Vaginal,12,2
2022,Sobradinho,Cesário,12,52
2022,Sobradinho,Vaginal,12,30
2022,Sobradinho II,Cesário,12,56
2022,Sobradinho II,Vaginal,12,35
2022,Sol Nascente,Cesário,12,28
2022,Sol Nascente,Vaginal,12,48
2022,Sudoeste/Octogonal,Cesário,12,26
2022,Sudoeste/Octogonal,Vaginal,12,15
2022,Taguatinga,Cesário,12,142
2022,Taguatinga,Vaginal,12,66
2022,Varjão,Cesário,12,14
2022,Varjão,Vaginal,12,6
2022,Vicente Pires,Cesário,12,46
2022,Vicente Pires,Vaginal,12,20
2022,,Cesário,12,2
2022,,Vaginal,12,1
